User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
najaeminpunya,1604882305658781697,2022-12-19 16:52:13+00:00,0,Twitter for iPhone,kan ajg ak dah bayar si lion eh ada citilink :)
ipuleadership,1604862523328843777,2022-12-19 15:33:37+00:00,0,Twitter for Android,@saphalosa Iya krn g laku jadinya skrg off lg. Mgkin krn emg orang lbh nyaman naek kereta sih ya. Krn kmrn cek kesana ada citilink harganya muahal
contactap2,1604857697160990720,2022-12-19 15:14:26+00:00,0,Twitter Web App,@JeksinH Operasional setiap hari pukul 08.00-15.00 khuus penumpang (diutamakan bagi penumpang Garuda dan Citilink). Silakan membawa KTP dan memiliki E-Tiket (Peduli Lindungi). Kuota terbatas. Terima kasih - Lucas (2/2)
najaeminpunya,1604825666859732994,2022-12-19 13:07:09+00:00,0,Twitter for iPhone,kampret wak citilink 😭 ak baru mau beli tiket dh mau byr gbs
sssamuelp,1604759366187773953,2022-12-19 08:43:42+00:00,0,Twitter for Android,@Citilink Halo Min apakah jumlah bagasi bisa digabungkan dalam 1 kode booking? Jadi yang masing masing 20kg misalnya 2 orang dengan kode yg sama bagasinya 1 koper dengan max 40kg bisa ga? Thanks Min
cloudnalee,1604758275740045313,2022-12-19 08:39:22+00:00,0,Twitter for Android,@Citilink halo admin tlg cek dm ya. URGENT!
TiketPesawatPro,1604747786599026689,2022-12-19 07:57:41+00:00,0,twittbot.net,#backpacker #backpackers #backpackerindonesia tiket pesawat murah ke bali citilink KLIK https://t.co/xaAlCMxF2U
TiketPesawatPro,1604747784472887296,2022-12-19 07:57:41+00:00,0,twittbot.net,#backpacker #backpackers #backpackerindonesia tiket pesawat murah ke bali citilink KLIK https://t.co/xaAlCMPOh2
wayvcabangui,1604735759566909442,2022-12-19 07:09:54+00:00,0,Twitter for iPhone,Gw bingung kok Citilink ama Garuda sekarang gap harganya gak jauh ya? Kok rasanya lebih worthy milih Garuda?
dishub_bwi,1604694448675655680,2022-12-19 04:25:45+00:00,0,Twitter for Android,"Info Bandara Internasional Banyuwangi Today 🌤️

✈️ JAKARTA 

BATIK AIR - 19 Desember 2022
ID 6591 - (A320)
REG : PK-LUI
RUTE : BWX - CGK
AIRBORNE : 08.39 LT

CITILINK - 19 Desember 2022
QG701 - (A320)
REG : PK-GLZ
RUTE : BWX-CGK 
AIRBORNE : 10.42 LT https://t.co/MLZVnH6nRN"
